Colonies_picked,Plasmid_containing,Plasmid_free,Fraction_P,State,Strain,Full Strain Description,Day,Rep
50,49,1,0.98,ancestor,ancestor,Ecoli/28_anc,0,1
50,24,26,0.48,ancestor,ancestor,Ecoli/28_anc,3,1
50,7,43,0.14,ancestor,ancestor,Ecoli/28_anc,6,1
50,5,45,0.1,ancestor,ancestor,Ecoli/28_anc,9,1
19,19,0,1,ancestor,ancestor,Ecoli/28_anc,0,2
50,42,8,0.84,ancestor,ancestor,Ecoli/28_anc,3,2
50,13,37,0.26,ancestor,ancestor,Ecoli/28_anc,6,2
50,34,16,0.68,ancestor,ancestor,Ecoli/28_anc,9,2
50,44,6,0.88,ancestor,ancestor,Ecoli/28_anc,0,3
50,22,16,0.44,ancestor,ancestor,Ecoli/28_anc,3,3
50,25,25,0.5,ancestor,ancestor,Ecoli/28_anc,6,3
50,28,22,0.56,ancestor,ancestor,Ecoli/28_anc,9,3
50,48,2,0.96,evolved,evolved 1,Ecoli/28_1,0,1
50,48,2,0.96,evolved,evolved 1,Ecoli/28_1,3,1
50,38,12,0.76,evolved,evolved 1,Ecoli/28_1,6,1
50,29,21,0.58,evolved,evolved 1,Ecoli/28_1,9,1
50,50,0,1,evolved,evolved 1,Ecoli/28_1,0,2
50,45,5,0.9,evolved,evolved 1,Ecoli/28_1,3,2
50,38,12,0.76,evolved,evolved 1,Ecoli/28_1,6,2
50,34,16,0.68,evolved,evolved 1,Ecoli/28_1,9,2
50,50,0,1,evolved,evolved 1,Ecoli/28_1,0,3
50,45,5,0.9,evolved,evolved 1,Ecoli/28_1,3,3
50,44,6,0.88,evolved,evolved 1,Ecoli/28_1,6,3
50,36,14,0.72,evolved,evolved 1,Ecoli/28_1,9,3
50,50,0,1,evolved,evolved 2,Ecoli/28_4,0,1
50,50,0,1,evolved,evolved 2,Ecoli/28_4,3,1
50,50,0,1,evolved,evolved 2,Ecoli/28_4,6,1
50,50,0,1,evolved,evolved 2,Ecoli/28_4,9,1
50,50,0,1,evolved,evolved 2,Ecoli/28_4,0,2
50,49,1,0.98,evolved,evolved 2,Ecoli/28_4,3,2
50,50,0,1,evolved,evolved 2,Ecoli/28_4,6,2
50,50,0,1,evolved,evolved 2,Ecoli/28_4,9,2
50,50,0,1,evolved,evolved 2,Ecoli/28_4,0,3
50,50,0,1,evolved,evolved 2,Ecoli/28_4,3,3
50,50,0,1,evolved,evolved 2,Ecoli/28_4,6,3
50,50,0,1,evolved,evolved 2,Ecoli/28_4,9,3