Mixture,Host,Antibiotic,CFUs,Day
Anc,Ecoli,4-Both,0,0
Anc,Ecoli,4-Both,0,1
Anc,Ecoli,4-Both,0,1
Anc,Ecoli,4-Both,0,1
Anc,Ecoli,4-Both,0,2
Anc,Ecoli,4-Both,0,2
Anc,Ecoli,4-Both,0,2
Anc,Ecoli,4-Both,0,3
Anc,Ecoli,4-Both,0,3
Anc,Ecoli,4-Both,0,3
Anc,Ecoli,4-Both,0,4
Anc,Ecoli,4-Both,0,4
Anc,Ecoli,4-Both,0,4
Anc,Kleb,4-Both,0,0
Anc,Kleb,4-Both,260,1
Anc,Kleb,4-Both,0,1
Anc,Kleb,4-Both,100,1
Anc,Kleb,4-Both,20,2
Anc,Kleb,4-Both,1240,2
Anc,Kleb,4-Both,960,2
Anc,Kleb,4-Both,20,3
Anc,Kleb,4-Both,1440,3
Anc,Kleb,4-Both,7520,3
Anc,Kleb,4-Both,1790,4
Anc,Kleb,4-Both,270,4
Anc,Kleb,4-Both,660,4
Evo,Ecoli,4-Both,0,0
Evo,Ecoli,4-Both,0,1
Evo,Ecoli,4-Both,0,1
Evo,Ecoli,4-Both,0,1
Evo,Ecoli,4-Both,0,2
Evo,Ecoli,4-Both,0,2
Evo,Ecoli,4-Both,0,2
Evo,Ecoli,4-Both,0,3
Evo,Ecoli,4-Both,0,3
Evo,Ecoli,4-Both,0,3
Evo,Ecoli,4-Both,0,4
Evo,Ecoli,4-Both,0,4
Evo,Ecoli,4-Both,0,4
Evo,Kleb,4-Both,0,0
Evo,Kleb,4-Both,560000,1
Evo,Kleb,4-Both,1050000,1
Evo,Kleb,4-Both,820000,1
Evo,Kleb,4-Both,74000,2
Evo,Kleb,4-Both,457000,2
Evo,Kleb,4-Both,138000,2
Evo,Kleb,4-Both,3920000,3
Evo,Kleb,4-Both,4980000,3
Evo,Kleb,4-Both,3250000,3
Evo,Kleb,4-Both,4110000,4
Evo,Kleb,4-Both,5160000,4
Evo,Kleb,4-Both,3770000,4